"网络类型","授权方向","授权策略","IP协议","端口范围","优先级","源IP地址段","源IPv6地址段","源安全组","源端安全组名称","源安全组所属阿里云账户ID","源端端口范围","目标IP地址段","目的IPv6地址段","目标安全组","目的端安全组名称","目标安全组所属阿里云账户ID","描述信息","创建时间(UTC)"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.120.98","","","","","-1/-1","","","","","","scan-9.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.109.160","","","","","-1/-1","","","","","","scan-117.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.65.76","","","","","-1/-1","","","","","","scan-41.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.109.43","","","","","-1/-1","","","","","","scan-38.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.217.71","","","","","-1/-1","","","","","","scan-2.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.100.219","","","","","-1/-1","","","","","","scan-27.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.112.248","","","","","-1/-1","","","","","","scan-22.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.212.214","","","","","-1/-1","","","","","","scan-57.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.112.26","","","","","-1/-1","","","","","","scan-113.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.88.63","","","","","-1/-1","","","","","","scan-79.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.86.84","","","","","-1/-1","","","","","","scan-23.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.84.122","","","","","-1/-1","","","","","","scan-91.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.102.46","","","","","-1/-1","","","","","","scan-51.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.110.42","","","","","-1/-1","","","","","","scan-31.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.81.62","","","","","-1/-1","","","","","","scan-80.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.105.194","","","","","-1/-1","","","","","","scan-6.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.125.99","","","","","-1/-1","","","","","","scan-15.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.108.62","","","","","-1/-1","","","","","","scan-123.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.121.165","","","","","-1/-1","","","","","","scan-62.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.78.6","","","","","-1/-1","","","","","","scan-55.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","103.29.71.94","","","","","-1/-1","","","","","","scan-13.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.110.116","","","","","-1/-1","","","","","","scan-20.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.207.40","","","","","-1/-1","","","","","","scan-10.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.108.129","","","","","-1/-1","","","","","","scan-32.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.94.121","","","","","-1/-1","","","","","","scan-56.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.114.154","","","","","-1/-1","","","","","","scan-14.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","23.92.31.220","","","","","-1/-1","","","","","","scan-60.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.79.13","","","","","-1/-1","","","","","","scan-75.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","103.29.69.181","","","","","-1/-1","","","","","","scan-89.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","178.79.148.58","","","","","-1/-1","","","","","","scan-83.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.201.117","","","","","-1/-1","","","","","","scan-16.security.ipip.net","2019-11-12T18:58:29Z"
